as_of,geo_value,signal,source,time_type,time_value,issue,value,target_end_date
2025-04-23,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-30,2025-04-20,86.0,2025-04-05
2025-04-23,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-06,2025-04-20,59.0,2025-04-12
2025-04-23,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-13,2025-04-20,39.0,2025-04-19
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-04-27,2.0,2024-10-19
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-04-27,14.0,2024-10-26
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-04-27,25.0,2024-11-02
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-04-27,20.0,2024-11-09
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-04-27,29.0,2024-11-16
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-04-27,31.0,2024-11-23
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-04-27,67.0,2024-11-30
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-04-27,90.0,2024-12-07
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-04-27,129.0,2024-12-14
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-04-27,179.0,2024-12-21
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-04-27,475.0,2024-12-28
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-04-27,760.0,2025-01-04
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-04-27,499.0,2025-01-11
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-04-27,441.0,2025-01-18
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-04-27,456.0,2025-01-25
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-04-27,543.0,2025-02-01
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-02,2025-04-27,622.0,2025-02-08
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-09,2025-04-27,583.0,2025-02-15
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-16,2025-04-27,481.0,2025-02-22
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-23,2025-04-27,381.0,2025-03-01
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-02,2025-04-27,311.0,2025-03-08
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-09,2025-04-27,215.0,2025-03-15
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-16,2025-04-27,162.0,2025-03-22
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-23,2025-04-27,121.0,2025-03-29
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-30,2025-04-27,86.0,2025-04-05
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-06,2025-04-27,59.0,2025-04-12
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-13,2025-04-27,40.0,2025-04-19
2025-04-30,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-20,2025-04-27,42.0,2025-04-26
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-05-04,2.0,2024-10-19
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-05-04,14.0,2024-10-26
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-05-04,25.0,2024-11-02
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-05-04,20.0,2024-11-09
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-05-04,29.0,2024-11-16
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-05-04,31.0,2024-11-23
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-05-04,67.0,2024-11-30
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-05-04,90.0,2024-12-07
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-05-04,129.0,2024-12-14
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-05-04,179.0,2024-12-21
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-05-04,475.0,2024-12-28
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-05-04,760.0,2025-01-04
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-05-04,499.0,2025-01-11
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-05-04,441.0,2025-01-18
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-05-04,456.0,2025-01-25
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-05-04,543.0,2025-02-01
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-02,2025-05-04,622.0,2025-02-08
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-09,2025-05-04,583.0,2025-02-15
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-16,2025-05-04,481.0,2025-02-22
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-23,2025-05-04,381.0,2025-03-01
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-02,2025-05-04,311.0,2025-03-08
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-09,2025-05-04,215.0,2025-03-15
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-16,2025-05-04,162.0,2025-03-22
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-23,2025-05-04,121.0,2025-03-29
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-30,2025-05-04,86.0,2025-04-05
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-06,2025-05-04,59.0,2025-04-12
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-13,2025-05-04,40.0,2025-04-19
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-20,2025-05-04,42.0,2025-04-26
2025-05-07,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-27,2025-05-04,29.0,2025-05-03
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-05-11,2.0,2024-10-19
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-05-11,14.0,2024-10-26
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-05-11,25.0,2024-11-02
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-05-11,20.0,2024-11-09
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-05-11,29.0,2024-11-16
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-05-11,31.0,2024-11-23
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-05-11,67.0,2024-11-30
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-05-11,90.0,2024-12-07
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-05-11,129.0,2024-12-14
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-05-11,179.0,2024-12-21
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-05-11,475.0,2024-12-28
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-05-11,760.0,2025-01-04
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-05-11,499.0,2025-01-11
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-05-11,441.0,2025-01-18
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-05-11,456.0,2025-01-25
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-05-11,543.0,2025-02-01
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-02,2025-05-11,622.0,2025-02-08
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-09,2025-05-11,583.0,2025-02-15
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-16,2025-05-11,481.0,2025-02-22
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-23,2025-05-11,381.0,2025-03-01
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-02,2025-05-11,311.0,2025-03-08
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-09,2025-05-11,215.0,2025-03-15
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-16,2025-05-11,162.0,2025-03-22
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-23,2025-05-11,121.0,2025-03-29
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-30,2025-05-11,86.0,2025-04-05
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-06,2025-05-11,59.0,2025-04-12
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-13,2025-05-11,40.0,2025-04-19
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-20,2025-05-11,42.0,2025-04-26
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-04-27,2025-05-11,30.0,2025-05-03
2025-05-14,co,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-05-04,2025-05-11,31.0,2025-05-10
2024-11-20,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-11-17,5.0,2024-10-19
2024-11-20,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-11-17,6.0,2024-10-26
2024-11-20,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-11-17,10.0,2024-11-02
2024-11-20,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-11-17,4.0,2024-11-09
2024-11-20,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-11-17,5.0,2024-11-16
2024-11-27,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-11-24,5.0,2024-10-19
2024-11-27,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-11-24,6.0,2024-10-26
2024-11-27,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-11-24,10.0,2024-11-02
2024-11-27,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-11-24,4.0,2024-11-09
2024-11-27,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-11-24,5.0,2024-11-16
2024-11-27,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-11-24,4.0,2024-11-23
2024-12-04,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-01,5.0,2024-10-19
2024-12-04,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-01,6.0,2024-10-26
2024-12-04,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-01,10.0,2024-11-02
2024-12-04,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-01,4.0,2024-11-09
2024-12-04,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-01,5.0,2024-11-16
2024-12-04,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-01,4.0,2024-11-23
2024-12-04,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-01,10.0,2024-11-30
2024-12-11,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-08,5.0,2024-10-19
2024-12-11,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-08,6.0,2024-10-26
2024-12-11,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-08,10.0,2024-11-02
2024-12-11,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-08,4.0,2024-11-09
2024-12-11,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-08,5.0,2024-11-16
2024-12-11,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-08,4.0,2024-11-23
2024-12-11,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-08,10.0,2024-11-30
2024-12-11,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2024-12-08,13.0,2024-12-07
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-15,5.0,2024-10-19
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-15,6.0,2024-10-26
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-15,10.0,2024-11-02
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-15,4.0,2024-11-09
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-15,5.0,2024-11-16
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-15,4.0,2024-11-23
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-15,10.0,2024-11-30
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2024-12-15,13.0,2024-12-07
2024-12-18,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2024-12-15,24.0,2024-12-14
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-22,5.0,2024-10-19
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-22,6.0,2024-10-26
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-22,10.0,2024-11-02
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-22,4.0,2024-11-09
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-22,5.0,2024-11-16
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-22,4.0,2024-11-23
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-22,10.0,2024-11-30
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2024-12-22,13.0,2024-12-07
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2024-12-22,24.0,2024-12-14
2024-12-25,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2024-12-22,42.0,2024-12-21
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2024-12-29,5.0,2024-10-19
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2024-12-29,6.0,2024-10-26
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2024-12-29,10.0,2024-11-02
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2024-12-29,4.0,2024-11-09
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2024-12-29,5.0,2024-11-16
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2024-12-29,4.0,2024-11-23
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2024-12-29,10.0,2024-11-30
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2024-12-29,13.0,2024-12-07
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2024-12-29,24.0,2024-12-14
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2024-12-29,42.0,2024-12-21
2025-01-01,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2024-12-29,148.0,2024-12-28
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-01-05,5.0,2024-10-19
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-01-05,6.0,2024-10-26
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-01-05,10.0,2024-11-02
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-01-05,4.0,2024-11-09
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-01-05,5.0,2024-11-16
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-01-05,4.0,2024-11-23
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-01-05,10.0,2024-11-30
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-01-05,13.0,2024-12-07
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-01-05,24.0,2024-12-14
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-01-05,41.0,2024-12-21
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-01-05,148.0,2024-12-28
2025-01-08,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-01-05,290.0,2025-01-04
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-01-12,5.0,2024-10-19
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-01-12,6.0,2024-10-26
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-01-12,10.0,2024-11-02
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-01-12,4.0,2024-11-09
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-01-12,5.0,2024-11-16
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-01-12,4.0,2024-11-23
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-01-12,10.0,2024-11-30
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-01-12,13.0,2024-12-07
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-01-12,24.0,2024-12-14
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-01-12,41.0,2024-12-21
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-01-12,148.0,2024-12-28
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-01-12,290.0,2025-01-04
2025-01-15,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-01-12,277.0,2025-01-11
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-01-19,5.0,2024-10-19
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-01-19,6.0,2024-10-26
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-01-19,10.0,2024-11-02
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-01-19,4.0,2024-11-09
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-01-19,5.0,2024-11-16
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-01-19,4.0,2024-11-23
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-01-19,10.0,2024-11-30
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-01-19,13.0,2024-12-07
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-01-19,24.0,2024-12-14
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-01-19,41.0,2024-12-21
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-01-19,148.0,2024-12-28
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-01-19,290.0,2025-01-04
2025-01-22,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-01-19,277.0,2025-01-11
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-01-26,5.0,2024-10-19
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-01-26,6.0,2024-10-26
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-01-26,10.0,2024-11-02
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-01-26,4.0,2024-11-09
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-01-26,5.0,2024-11-16
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-01-26,4.0,2024-11-23
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-01-26,10.0,2024-11-30
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-01-26,13.0,2024-12-07
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-01-26,24.0,2024-12-14
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-01-26,41.0,2024-12-21
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-01-26,148.0,2024-12-28
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-01-26,290.0,2025-01-04
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-01-26,277.0,2025-01-11
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-01-26,289.0,2025-01-18
2025-01-29,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-01-26,387.0,2025-01-25
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-02-02,5.0,2024-10-19
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-02-02,6.0,2024-10-26
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-02-02,10.0,2024-11-02
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-02-02,4.0,2024-11-09
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-02-02,5.0,2024-11-16
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-02-02,4.0,2024-11-23
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-02-02,10.0,2024-11-30
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-02-02,13.0,2024-12-07
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-02-02,24.0,2024-12-14
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-02-02,41.0,2024-12-21
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-02-02,148.0,2024-12-28
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-02-02,290.0,2025-01-04
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-02-02,277.0,2025-01-11
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-02-02,289.0,2025-01-18
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-02-02,387.0,2025-01-25
2025-02-05,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-02-02,466.0,2025-02-01
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-02-09,5.0,2024-10-19
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-02-09,6.0,2024-10-26
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-02-09,10.0,2024-11-02
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-02-09,4.0,2024-11-09
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-02-09,5.0,2024-11-16
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-02-09,4.0,2024-11-23
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-02-09,10.0,2024-11-30
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-02-09,13.0,2024-12-07
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-02-09,24.0,2024-12-14
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-02-09,41.0,2024-12-21
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-02-09,148.0,2024-12-28
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-02-09,294.0,2025-01-04
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-02-09,247.0,2025-01-11
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-02-09,245.0,2025-01-18
2025-02-12,ct,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-02-09,378.0,2025-01-25
